Date,Country,City,Specie,count,min,max,median,variance
22-04-2021,IN,New Delhi,wind-speed,22,0.7,4.8,3,16.04
29-12-2020,IN,New Delhi,wind-speed,23,0.7,4.6,2.3,11.18
07-02-2021,IN,New Delhi,wind-speed,19,1,4.8,1.8,14.78
13-02-2021,IN,New Delhi,wind-speed,7,0.5,2,1,4
08-03-2021,IN,New Delhi,wind-speed,24,1.2,4.8,3,8.75
16-04-2021,IN,New Delhi,wind-speed,19,0.7,10,3,66.9
15-01-2021,IN,New Delhi,wind-speed,9,0.7,2.5,1.5,3.81
11-03-2021,IN,New Delhi,wind-speed,14,0.7,3,2.3,5.92
01-04-2021,IN,New Delhi,wind-gust,11,8.2,14.1,12.3,36.13
13-04-2021,IN,New Delhi,wind-gust,5,9,9.2,9.2,0.12
16-04-2021,IN,New Delhi,wind-gust,5,9.7,17.7,10.2,125.82
12-03-2021,IN,New Delhi,wind-gust,10,7.7,12.8,9.7,34.29
04-04-2021,IN,New Delhi,wind-gust,3,9.2,9.2,9.2,0
17-04-2021,IN,New Delhi,wind-gust,6,7.9,9.7,8.4,5.91
23-04-2021,IN,New Delhi,wind-gust,7,6.5,9.5,9.2,10.71
04-02-2021,IN,New Delhi,wind-gust,3,9.2,10.2,10.2,3.33
01-03-2021,IN,New Delhi,wind-gust,6,8.7,10.2,9,3.04
05-03-2021,IN,New Delhi,wind-gust,3,9.2,9.2,9.2,0
31-03-2021,IN,New Delhi,wind-gust,5,9.2,10.2,10.2,2
07-04-2021,IN,New Delhi,wind-gust,3,9.2,9.2,9.2,0
15-04-2021,IN,New Delhi,wind-gust,3,8.2,8.7,8.2,0.83
02-03-2021,IN,New Delhi,wind-gust,7,9.7,11.8,10.8,5.28
23-03-2021,IN,New Delhi,wind-gust,10,9.2,15.4,9.5,62.62
25-03-2021,IN,New Delhi,wind-gust,6,8.7,9.2,8.7,0.75
20-04-2021,IN,New Delhi,wind-gust,7,9.2,12.8,10.2,16.23
22-03-2021,IN,New Delhi,wind-gust,4,8.7,12.8,9.7,30.57
30-03-2021,IN,New Delhi,wind-gust,13,9.2,14.9,12.8,49.06
02-04-2021,IN,New Delhi,wind-gust,3,8.7,9.2,8.7,0.83
14-04-2021,IN,New Delhi,dew,21,2.5,9,4,47.54
18-02-2021,IN,New Delhi,dew,21,9.5,15,12.5,25.58
06-03-2021,IN,New Delhi,dew,24,8,18,14,62.97
19-03-2021,IN,New Delhi,dew,24,5.5,17,12.5,155.36
23-03-2021,IN,New Delhi,dew,24,5.5,16,13.5,100
25-03-2021,IN,New Delhi,dew,23,9.5,15,13,31.13
29-03-2021,IN,New Delhi,dew,23,7.5,17,13,69.52
09-02-2021,IN,New Delhi,dew,21,7.5,13,11,22.87
08-04-2021,IN,New Delhi,dew,24,-6,10,2,285.54
10-04-2021,IN,New Delhi,dew,22,-3.5,3.5,2.5,57.42
19-04-2021,IN,New Delhi,dew,23,2.5,12,8.5,102.94
31-01-2021,IN,New Delhi,dew,20,4.5,9,6,17.66
13-02-2021,IN,New Delhi,dew,21,8.5,16.5,14,46.9
15-01-2021,IN,New Delhi,dew,21,6,13,10,36.39
05-02-2021,IN,New Delhi,dew,18,9,12,10.5,13.4
30-12-2020,IN,New Delhi,dew,23,5,9,6.5,14.74
18-03-2021,IN,New Delhi,dew,22,5.5,17.5,14,117.51
21-04-2021,IN,New Delhi,dew,21,10,16,12.5,33.25
13-03-2021,IN,New Delhi,dew,22,8,17,14,74.27
12-04-2021,IN,New Delhi,dew,24,1,9,4.5,82.6
18-01-2021,IN,New Delhi,dew,9,11,13,12,6.11
12-02-2021,IN,New Delhi,dew,24,11,17.5,14,34.78
31-03-2021,IN,New Delhi,dew,21,-5,16,4,493.37
01-03-2021,IN,New Delhi,dew,21,5,15,11.5,105.37
09-03-2021,IN,New Delhi,dew,20,12,22,19.5,121.39
01-02-2021,IN,New Delhi,dew,22,4,12,7.5,46.28
02-02-2021,IN,New Delhi,dew,22,5,13,11,85.55
04-02-2021,IN,New Delhi,dew,21,11,18,15,43.15
20-04-2021,IN,New Delhi,dew,21,3,12.5,8,106.62
14-01-2021,IN,New Delhi,dew,22,5,12,7,74.75
01-04-2021,IN,New Delhi,dew,24,-8,2,-3,124.33
23-04-2021,IN,New Delhi,dew,20,8.5,14.5,11.5,16.82
31-12-2020,IN,New Delhi,dew,17,6,10,8.5,16.53
04-01-2021,IN,New Delhi,dew,22,12.5,19,15,44.2
20-01-2021,IN,New Delhi,dew,12,8,12,10,15.66
22-02-2021,IN,New Delhi,dew,23,11,15,12,14.19
03-01-2021,IN,New Delhi,dew,23,5.5,15,13,83.86
26-01-2021,IN,New Delhi,dew,24,4,11,8,37.32
07-02-2021,IN,New Delhi,dew,23,9,13,11.5,17.67
08-02-2021,IN,New Delhi,dew,23,9,14,11.5,21.55
20-02-2021,IN,New Delhi,dew,24,9.5,15.5,13,35.18
26-02-2021,IN,New Delhi,dew,22,11,18,14.5,37.19
18-04-2021,IN,New Delhi,dew,21,7,14,10.5,57.23
28-03-2021,IN,New Delhi,dew,23,9.5,86,15.5,2238.15
07-01-2021,IN,New Delhi,dew,18,12,16,15,18.9
13-01-2021,IN,New Delhi,dew,12,7,10,8,14.3
22-01-2021,IN,New Delhi,dew,20,6,11,8,29.7
24-02-2021,IN,New Delhi,dew,17,7,17,10,76.6
25-02-2021,IN,New Delhi,dew,21,10,19,14,59.37
11-03-2021,IN,New Delhi,dew,22,10,23,17,129.7
11-01-2021,IN,New Delhi,dew,23,7,11,8.5,17.47
10-02-2021,IN,New Delhi,dew,19,10,16,12.5,35.13
16-03-2021,IN,New Delhi,dew,23,11,18,15,58.48
17-03-2021,IN,New Delhi,dew,22,7,18.5,12.5,115.37
15-04-2021,IN,New Delhi,dew,23,0.5,7.5,4.5,49.88
28-12-2020,IN,New Delhi,dew,24,2,7.5,5.5,23.1
16-01-2021,IN,New Delhi,dew,16,8,11,9,11
28-01-2021,IN,New Delhi,dew,19,4,8.5,7,13.67
21-02-2021,IN,New Delhi,dew,21,9,14,11.5,17.15
08-03-2021,IN,New Delhi,dew,21,14,20.5,16,53.48
04-04-2021,IN,New Delhi,dew,23,-4,6,2,123.71
30-01-2021,IN,New Delhi,dew,21,4,8,6.5,10.65
15-02-2021,IN,New Delhi,dew,24,11,19,15,50.97
17-02-2021,IN,New Delhi,dew,10,12,17,15,22.25
03-04-2021,IN,New Delhi,dew,24,-8,3.5,-4,118.76
05-04-2021,IN,New Delhi,dew,23,-3,7,4.5,114.42
17-01-2021,IN,New Delhi,dew,21,6,11,8.5,30.37
29-01-2021,IN,New Delhi,dew,20,6.5,9,8,7.07
11-02-2021,IN,New Delhi,dew,23,11,15.5,14,26.02
05-01-2021,IN,New Delhi,dew,19,14,18,16,17.08
24-01-2021,IN,New Delhi,dew,20,10,13,11,8.71
14-02-2021,IN,New Delhi,dew,23,10,16,14,38.37
10-03-2021,IN,New Delhi,dew,23,12.5,18.5,15,33.83
06-02-2021,IN,New Delhi,dew,20,9,13,11,14.81
14-03-2021,IN,New Delhi,dew,22,9,16.5,13,60.22
26-03-2021,IN,New Delhi,dew,23,8,15,12,39.46
16-04-2021,IN,New Delhi,dew,24,-0.5,19,7,365.14
23-02-2021,IN,New Delhi,dew,21,5.5,15,12.5,72.83
08-01-2021,IN,New Delhi,dew,10,11,14,13,7.33
21-01-2021,IN,New Delhi,dew,17,7,10,9,10.24
22-03-2021,IN,New Delhi,dew,24,10,15,12.5,17.32
09-04-2021,IN,New Delhi,dew,23,-4.5,7,2,152.21
13-04-2021,IN,New Delhi,dew,24,2,10.5,7,76.58
17-04-2021,IN,New Delhi,dew,24,9,19.5,13,113.55
10-01-2021,IN,New Delhi,dew,23,6,12,9,25.52
06-04-2021,IN,New Delhi,dew,22,5,10,8.5,20.57
11-04-2021,IN,New Delhi,dew,20,-4,7,3,149.02
23-01-2021,IN,New Delhi,dew,18,8,12,10,11.61
19-02-2021,IN,New Delhi,dew,24,11,17,13.5,36.09
24-03-2021,IN,New Delhi,dew,24,10,14,13,26.26
02-04-2021,IN,New Delhi,dew,24,-8,4,-3.5,183.58
27-03-2021,IN,New Delhi,dew,21,10,18,13.5,51.23
01-01-2021,IN,New Delhi,dew,22,3.5,8.5,6,22.23
